EXP;LAB;Animal_id;Cage_id;Litter_id;Batch_id;Group_Exp;Group;Recommend_exclusion;Entries_OpenArms;Entries_ClosedArms;Entries_Total;Perc_Entries_OpenArms;Perc_Entries_ClosedArms;Ratio_Entries_OpenArms;Time_OpenArms;Time_ClosedArms;Time_CentralArea;Perc_Time_OpenArms_total;Ratio_Time_OpenArms_total;Perc_Time_OpenArms_arms;Perc_Time_OpenArms_mixed;Perc_Time_ClosedArms_total;Perc_Time_ClosedArms_arms;Perc_Time_CentralArea_total;HeadDipping_Unprotected;HeadDipping_TotalTime;StretchAttend_Protected;Stretching_Total;Rearing;Grooming;Peeping_out;End_arm_exploration_count;Weight_dif;Tries_OpenArms;Tries_ClosedArms;Tries_Total;Distance;FST_Mobility_time;FST_Immobility_time;TST_Mobility_time;TST_Immobility_time;OR_Training_Object1;OR_Training_Object2;OR_Training_DiscriminationRatio;OR_Test_Old;OR_Test_New;OR_Test_DiscriminationRatio
EPM11;LAB62;2;184;;A;Control;Group1;No;6;11;;35,29411765;;;68;127;105;22,66666667;;;;42,33333333;;35;;;;;;;;;;9;0;9;;;;;;;;;;;
EPM11;LAB62;3;184;;A;Control;Group1;No;4;7;;36,36363636;;;41;94;197;13,66666667;;;;31,33333333;;65,66666667;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;4;184;;A;Control;Group1;No;3;6;;33,33333333;;;50;144;106;16,66666667;;;;48;;35,33333333;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;4;185;;A;Control;Group1;No;2;0;;100;;;288;0;12;96;;;;0;;4;;;;;;;;;;0;0;0;;;;;;;;;;;
EPM11;LAB62;1;198;;A;Control;Group1;No;0;10;;0;;;0;199;101;0;;;;66,33333333;;33,66666667;;;;;;;;;;14;0;14;;;;;;;;;;;
EPM11;LAB62;4;199;;A;Control;Group1;No;3;10;;23,07692308;;;27;148;125;9;;;;49,33333333;;41,66666667;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;1;200;;A;Control;Group1;No;1;9;;10;;;10;137;153;3,333333333;;;;45,66666667;;51;;;;;;;;;;11;0;11;;;;;;;;;;;
EPM11;LAB62;2;200;;A;Control;Group1;No;6;1;;85,71428571;;;231;12;57;77;;;;4;;19;;;;;;;;;;2;1;3;;;;;;;;;;;
EPM11;LAB62;2;202;;A;Control;Group1;No;6;6;;50;;;130;69;101;43,33333333;;;;23;;33,66666667;;;;;;;;;;6;0;6;;;;;;;;;;;
EPM11;LAB62;3;182;;A;Treated;Group2;No;0;5;;0;;;0;253;47;0;;;;84,33333333;;15,66666667;;;;;;;;;;2;0;2;;;;;;;;;;;
EPM11;LAB62;2;183;;A;Treated;Group2;No;2;12;;14,28571429;;;13;136;151;4,333333333;;;;45,33333333;;50,33333333;;;;;;;;;;19;0;19;;;;;;;;;;;
EPM11;LAB62;4;183;;A;Treated;Group2;No;3;3;;50;;;56;206;38;18,66666667;;;;68,66666667;;12,66666667;;;;;;;;;;2;0;2;;;;;;;;;;;
EPM11;LAB62;1;184;;A;Treated;Group2;No;0;3;;0;;;0;74;226;0;;;;24,66666667;;75,33333333;;;;;;;;;;2;0;2;;;;;;;;;;;
EPM11;LAB62;2;198;;A;Treated;Group2;No;2;11;;15,38461538;;;73;159;68;24,33333333;;;;53;;22,66666667;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;3;198;;A;Treated;Group2;No;0;4;;0;;;0;187;113;0;;;;62,33333333;;37,66666667;;;;;;;;;;3;0;3;;;;;;;;;;;
EPM11;LAB62;4;198;;A;Treated;Group2;No;1;2;;33,33333333;;;181;84;35;60,33333333;;;;28;;11,66666667;;;;;;;;;;2;0;2;;;;;;;;;;;
EPM11;LAB62;1;199;;A;Treated;Group2;No;3;4;;42,85714286;;;90;161;43;30;;;;53,66666667;;14,33333333;;;;;;;;;;3;0;3;;;;;;;;;;;
EPM11;LAB62;2;199;;A;Treated;Group2;No;0;12;;0;;;0;146;154;0;;;;48,66666667;;51,33333333;;;;;;;;;;17;0;17;;;;;;;;;;;
EPM11;LAB62;3;199;;A;Treated;Group2;No;0;9;;0;;;0;152;148;0;;;;50,66666667;;49,33333333;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;4;200;;A;Treated;Group2;No;0;6;;0;;;0;202;98;0;;;;67,33333333;;32,66666667;;;;;;;;;;10;0;10;;;;;;;;;;;
EPM11;LAB62;1;201;;A;Treated;Group2;No;3;3;;50;;;58;117;125;19,33333333;;;;39;;41,66666667;;;;;;;;;;3;0;3;;;;;;;;;;;
EPM11;LAB62;2;201;;A;Treated;Group2;No;3;4;;42,85714286;;;79;156;125;26,33333333;;;;52;;41,66666667;;;;;;;;;;0;0;0;;;;;;;;;;;
EPM11;LAB62;3;201;;A;Treated;Group2;No;0;4;;0;;;0;268;32;0;;;;89,33333333;;10,66666667;;;;;;;;;;2;0;2;;;;;;;;;;;
EPM11;LAB62;4;201;;A;Treated;Group2;No;0;4;;0;;;0;258;42;0;;;;86;;14;;;;;;;;;;5;0;5;;;;;;;;;;;
EPM11;LAB62;1;202;;A;Treated;Group2;No;0;3;;0;;;0;110;190;0;;;;36,66666667;;63,33333333;;;;;;;;;;0;0;0;;;;;;;;;;;
EPM11;LAB62;3;202;;A;Treated;Group2;No;0;4;;0;;;0;190;110;0;;;;63,33333333;;36,66666667;;;;;;;;;;4;0;4;;;;;;;;;;;
EPM11;LAB62;1;207;;A;Treated;Group2;No;5;3;;62,5;;;129;96;75;43;;;;32;;25;;;;;;;;;;8;0;8;;;;;;;;;;;
EPM11;LAB80;2;A;;A;Control;Group1;No;2;0;;100;;;286;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;A;;A;Control;Group1;No;5;6;;45,45454545;;;129;153;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;B;;A;Control;Group1;No;4;5;;44,44444444;;;85;161;;53,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;B;;A;Control;Group1;No;7;6;;53,84615385;;;147;75;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;C;;A;Control;Group1;No;2;0;;100;;;300;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;C;;A;Control;Group1;No;7;4;;63,63636364;;;165;85;;28,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;D;;A;Control;Group1;No;0;1;;0;;;0;300;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;D;;A;Control;Group1;No;6;5;;54,54545455;;;171;116;;38,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;E;;A;Control;Group1;No;1;0;;100;;;5;265;;88,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;E;;A;Control;Group1;No;0;2;;0;;;5;272;;90,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;F;;A;Control;Group1;No;0;1;;0;;;10;290;;96,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;F;;A;Control;Group1;No;1;0;;100;;;300;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;G;;A;Control;Group1;No;1;1;;50;;;292;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;G;;A;Control;Group1;No;1;6;;14,28571429;;;17;237;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;H;;A;Control;Group1;No;0;1;;0;;;0;275;;91,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;H;;A;Control;Group1;No;4;4;;50;;;97;189;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;I;;A;Control;Group1;No;1;2;;33,33333333;;;9;283;;94,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;4;I;;A;Control;Group1;No;1;2;;33,33333333;;;43;240;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;2;J;;A;Control;Group1;No;0;3;;0;;;22;265;;88,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;A;;A;Treated;Group2;No;6;2;;75;;;102;174;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;A;;A;Treated;Group2;No;3;3;;50;;;90;170;;56,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;B;;A;Treated;Group2;No;1;2;;33,33333333;;;26;258;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;B;;A;Treated;Group2;No;6;7;;46,15384615;;;84;162;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;C;;A;Treated;Group2;No;0;2;;0;;;0;285;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;C;;A;Treated;Group2;No;1;4;;20;;;48;240;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;D;;A;Treated;Group2;No;4;3;;57,14285714;;;192;91;;30,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;D;;A;Treated;Group2;No;2;1;;66,66666667;;;101;195;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;E;;A;Treated;Group2;No;1;3;;25;;;52;230;;76,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;E;;A;Treated;Group2;No;3;0;;100;;;300;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;F;;A;Treated;Group2;No;4;2;;66,66666667;;;198;50;;16,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;G;;A;Treated;Group2;No;3;2;;60;;;107;182;;60,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;G;;A;Treated;Group2;No;1;4;;20;;;54;212;;70,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;H;;A;Treated;Group2;No;5;8;;38,46153846;;;115;169;;56,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;H;;A;Treated;Group2;No;1;1;;50;;;190;100;;33,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;3;I;;A;Treated;Group2;No;1;2;;33,33333333;;;0;193;;64,33333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB80;1;J;;A;Treated;Group2;No;0;1;;0;;;0;291;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPM11;LAB83;1;Cage#1;;A;Control;Group1;No;3;5;;37,5;;;148;132;20;49,33333333;;;;44;;14,66666667;;;;;;;;;;1;2;3;;;;;;;;;;;
EPM11;LAB83;3;Cage#1;;A;Control;Group1;No;7;3;;70;;;173;92;35;57,66666667;;;;30,66666667;;10,22222222;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;4;Cage#1;;A;Control;Group1;No;3;3;;50;;;60;193;47;20;;;;64,33333333;;21,44444444;;;;;;;;;;2;1;3;;;;;;;;;;;
EPM11;LAB83;5;Cage#2;;A;Control;Group1;No;6;6;;50;;;149;134;17;49,66666667;;;;44,66666667;;14,88888889;;;;;;;;;;2;1;3;;;;;;;;;;;
EPM11;LAB83;7;Cage#2;;A;Control;Group1;No;4;6;;40;;;68;214;18;22,66666667;;;;71,33333333;;23,77777778;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;10;Cage#3;;A;Control;Group1;No;0;2;;0;;;0;295;5;0;;;;98,33333333;;32,77777778;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;14;Cage#4;;A;Control;Group1;No;8;7;;53,33333333;;;155;108;37;51,66666667;;;;36;;12;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;15;Cage#4;;A;Control;Group1;No;5;6;;45,45454545;;;105;172;23;35;;;;57,33333333;;19,11111111;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;17;Cage#4;;A;Control;Group1;No;4;5;;44,44444444;;;96;176;28;32;;;;58,66666667;;19,55555556;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;18;Cage#5;;B;Control;Group1;No;4;4;;50;;;183;101;16;61;;;;33,66666667;;11,22222222;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;20;Cage#5;;B;Control;Group1;No;0;3;;0;;;0;272;28;0;;;;90,66666667;;30,22222222;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;24;Cage#6;;B;Control;Group1;No;6;5;;54,54545455;;;164;122;14;54,66666667;;;;40,66666667;;13,55555556;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;25;Cage#6;;B;Control;Group1;No;3;3;;50;;;132;151;17;44;;;;50,33333333;;16,77777778;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;26;Cage#7;;B;Control;Group1;No;5;4;;55,55555556;;;159;111;30;53;;;;37;;12,33333333;;;;;;;;;;1;2;3;;;;;;;;;;;
EPM11;LAB83;30;Cage#8;;B;Control;Group1;No;2;4;;33,33333333;;;91;135;74;30,33333333;;;;45;;15;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;33;Cage#8;;B;Control;Group1;No;2;4;;33,33333333;;;37;186;77;12,33333333;;;;62;;20,66666667;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;34;Cage#9;;B;Control;Group1;No;0;3;;0;;;0;238;62;0;;;;79,33333333;;26,44444444;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;37;Cage#9;;B;Control;Group1;No;4;4;;50;;;99;196;5;33;;;;65,33333333;;21,77777778;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;38;Cage#9;;B;Control;Group1;No;2;5;;28,57142857;;;111;172;17;37;;;;57,33333333;;19,11111111;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;2;Cage#1;;A;Treated;Group2;No;3;2;;60;;;16;262;22;5,333333333;;;;87,33333333;;29,11111111;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;6;Cage#2;;A;Treated;Group2;No;1;1;;50;;;13;286;2;4,333333333;;;;95,33333333;;31,77777778;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;8;Cage#2;;A;Treated;Group2;No;7;6;;53,84615385;;;147;116;37;49;;;;38,66666667;;12,88888889;;;;;;;;;;1;3;4;;;;;;;;;;;
EPM11;LAB83;9;Cage#3;;A;Treated;Group2;No;0;2;;0;;;0;300;0;0;;;;100;;33,33333333;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;11;Cage#3;;A;Treated;Group2;No;4;6;;40;;;117;167;16;39;;;;55,66666667;;18,55555556;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;12;Cage#3;;A;Treated;Group2;No;6;7;;46,15384615;;;128;145;27;42,66666667;;;;48,33333333;;16,11111111;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;13;Cage#4;;A;Treated;Group2;No;3;8;;27,27272727;;;57;236;7;19;;;;78,66666667;;26,22222222;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;16;Cage#4;;A;Treated;Group2;No;1;6;;14,28571429;;;42;252;6;14;;;;84;;28;;;;;;;;;;4;1;5;;;;;;;;;;;
EPM11;LAB83;19;Cage#5;;B;Treated;Group2;No;0;5;;0;;;0;288;12;0;;;;96;;32;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;21;Cage#5;;B;Treated;Group2;No;2;6;;25;;;53;196;51;17,66666667;;;;65,33333333;;21,77777778;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;22;Cage#6;;B;Treated;Group2;No;4;2;;66,66666667;;;114;62;124;38;;;;20,66666667;;6,888888889;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;23;Cage#6;;B;Treated;Group2;No;3;4;;42,85714286;;;47;209;44;15,66666667;;;;69,66666667;;23,22222222;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;27;Cage#7;;B;Treated;Group2;No;4;8;;33,33333333;;;73;210;17;24,33333333;;;;70;;23,33333333;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;28;Cage#7;;B;Treated;Group2;No;4;6;;40;;;153;147;9;51;;;;49;;16,33333333;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM11;LAB83;31;Cage#8;;B;Treated;Group2;No;0;6;;0;;;0;261;39;0;;;;87;;29;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;32;Cage#8;;B;Treated;Group2;No;2;4;;33,33333333;;;80;216;4;26,66666667;;;;72;;24;;;;;;;;;;2;1;3;;;;;;;;;;;
EPM11;LAB83;35;Cage#9;;B;Treated;Group2;No;0;4;;0;;;0;270;30;0;;;;90;;30;;;;;;;;;;0;1;1;;;;;;;;;;;
EPM11;LAB83;36;Cage#9;;B;Treated;Group2;No;6;5;;54,54545455;;;103;165;32;34,33333333;;;;55;;18,33333333;;;;;;;;;;1;1;2;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 1;11;B;Control;Group1;No;6;4;;60;40;;167;71;;;;70,16806723;;;29,83193277;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 1;11;B;Control;Group1;No;5;4;;55,55555556;44,44444444;;117;127;;;;47,95081967;;;52,04918033;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 1;12;B;Control;Group1;No;8;8;;50;50;;100;120;;;;45,45454545;;;54,54545455;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 1;12;B;Control;Group1;No;11;4;;73,33333333;26,66666667;;206;60;;;;77,44360902;;;22,55639098;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 3;13;A;Control;Group1;No;4;7;;36,36363636;63,63636364;;115;98;;;;53,99061033;;;46,00938967;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 3;13;A;Control;Group1;No;9;6;;60;40;;164;69;;;;70,38626609;;;29,61373391;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 3;14;A;Control;Group1;No;5;3;;62,5;37,5;;170;71;;;;70,53941909;;;29,46058091;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 3;14;A;Control;Group1;No;5;5;;50;50;;117;137;;;;46,06299213;;;53,93700787;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R5;Ctrl 3;14;A;Control;Group1;No;6;8;;42,85714286;57,14285714;;79;143;;;;35,58558559;;;64,41441441;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 4;15;A;Control;Group1;No;1;3;;25;75;;16;190;;;;7,766990291;;;92,23300971;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 4;15;A;Control;Group1;No;3;3;;50;50;;210;40;;;;84;;;16;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 4;15;A;Control;Group1;No;5;5;;50;50;;123;124;;;;49,79757085;;;50,20242915;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 4;16;A;Control;Group1;No;11;4;;73,33333333;26,66666667;;178;41;;;;81,27853881;;;18,72146119;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R5;Ctrl 4;16;A;Control;Group1;No;6;4;;60;40;;144;76;;;;65,45454545;;;34,54545455;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 5;16;A;Control;Group1;No;2;1;;66,66666667;33,33333333;;214;20;;;;91,45299145;;;8,547008547;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 5;17;A;Control;Group1;No;5;4;;55,55555556;44,44444444;;117;127;;;;47,95081967;;;52,04918033;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 5;17;A;Control;Group1;No;5;7;;41,66666667;58,33333333;;76;100;;;;43,18181818;;;56,81818182;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 5;17;A;Control;Group1;No;6;4;;60;40;;105;100;;;;51,2195122;;;48,7804878;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 6;18;B;Control;Group1;No;6;5;;54,54545455;45,45454545;;158;90;;;;63,70967742;;;36,29032258;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 6;19;B;Control;Group1;No;3;3;;50;50;;99;116;;;;46,04651163;;;53,95348837;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 6;19;B;Control;Group1;No;4;6;;40;60;;70;141;;;;33,17535545;;;66,82464455;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 7;20;A;Control;Group1;No;3;4;;42,85714286;57,14285714;;134;90;;;;59,82142857;;;40,17857143;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 7;20;A;Control;Group1;No;7;6;;53,84615385;46,15384615;;141;115;;;;55,078125;;;44,921875;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 7;21;A;Control;Group1;No;3;4;;42,85714286;57,14285714;;54;150;;;;26,47058824;;;73,52941176;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Ctrl 7;21;A;Control;Group1;No;7;6;;53,84615385;46,15384615;;163;98;;;;62,45210728;;;37,54789272;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 8;21;B;Control;Group1;No;1;0;;100;0;;270;0;;;;100;;;0;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Ctrl 8;22;B;Control;Group1;No;0;5;;0;100;;0;148;;;;0;;;100;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Ctrl 8;22;B;Control;Group1;No;2;3;;40;60;;33;195;;;;14,47368421;;;85,52631579;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 9;22;B;Control;Group1;No;4;2;;66,66666667;33,33333333;;116;100;;;;53,7037037;;;46,2962963;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Ctrl 6;18;B;Control;Group1;Yes, no pre-defined criterion;7;6;;53,84615385;46,15384615;;84;114;;;;42,42424242;;;57,57575758;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 1;1;B;Treated;Group2;No;0;1;;0;100;;0;270;;;;0;;;100;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 1;1;B;Treated;Group2;No;0;2;;0;100;;0;200;;;;0;;;100;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 1;2;B;Treated;Group2;No;8;3;;72,72727273;27,27272727;;210;37;;;;85,02024291;;;14,97975709;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Stress 1;2;B;Treated;Group2;No;8;4;;66,66666667;33,33333333;;153;80;;;;65,66523605;;;34,33476395;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 2;2;A;Treated;Group2;No;1;1;;50;50;;16;177;;;;8,29015544;;;91,70984456;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 2;3;A;Treated;Group2;No;3;3;;50;50;;46;152;;;;23,23232323;;;76,76767677;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 2;3;A;Treated;Group2;No;3;6;;33,33333333;66,66666667;;48;168;;;;22,22222222;;;77,77777778;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 3;4;B;Treated;Group2;No;3;1;;75;25;;98;150;;;;39,51612903;;;60,48387097;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 3;4;B;Treated;Group2;No;0;2;;0;100;;0;214;;;;0;;;100;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 3;5;B;Treated;Group2;No;4;5;;44,44444444;55,55555556;;109;179;;;;37,84722222;;;62,15277778;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 4;5;B;Treated;Group2;No;5;5;;50;50;;127;90;;;;58,52534562;;;41,47465438;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 4;6;B;Treated;Group2;No;7;6;;53,84615385;46,15384615;;120;117;;;;50,63291139;;;49,36708861;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Stress 4;6;B;Treated;Group2;No;1;0;;100;0;;250;0;;;;100;;;0;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 5;6;A;Treated;Group2;No;4;4;;50;50;;70;140;;;;33,33333333;;;66,66666667;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 5;7;A;Treated;Group2;No;7;5;;58,33333333;41,66666667;;135;107;;;;55,78512397;;;44,21487603;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 5;7;A;Treated;Group2;No;4;3;;57,14285714;42,85714286;;26;131;;;;16,56050955;;;83,43949045;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 6;7;B;Treated;Group2;No;6;4;;60;40;;181;78;;;;69,88416988;;;30,11583012;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 7;8;A;Treated;Group2;No;2;4;;33,33333333;66,66666667;;107;82;;;;56,61375661;;;43,38624339;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 7;8;A;Treated;Group2;No;6;4;;60;40;;180;56;;;;76,27118644;;;23,72881356;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 7;9;A;Treated;Group2;No;5;3;;62,5;37,5;;193;44;;;;81,43459916;;;18,56540084;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 8;9;A;Treated;Group2;No;2;4;;33,33333333;66,66666667;;50;92;;;;35,21126761;;;64,78873239;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R2;Stress 8;9;A;Treated;Group2;No;7;6;;53,84615385;46,15384615;;148;71;;;;67,57990868;;;32,42009132;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R3;Stress 8;10;A;Treated;Group2;No;5;8;;38,46153846;61,53846154;;75;85;;;;46,875;;;53,125;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R4;Stress 8;10;A;Treated;Group2;No;1;0;;100;0;;300;0;;;;100;;;0;;;;;;;;;;;;;;;;;;;;;;;;
EPM13;LAB11;R1;Stress 9;10;B;Treated;Group2;No;3;4;;42,85714286;57,14285714;;82;140;;;;36,93693694;;;63,06306306;;;;;;;;;;;;;;;;;;;;;;;;
